122    2.60E-05    2.60E-05    2.60E-05    2.60E-05    2.60E-05    2.60E-05    2.60E-05    2.60E-05
123    2.66E-05    2.66E-05    2.66E-05    2.66E-05    2.66E-05    2.66E-05    2.66E-05    2.66E-05
124    2.72E-05    2.72E-05    2.72E-05    2.72E-05    2.72E-05    2.72E-05    2.72E-05    2.72E-05
125    2.79E-05    2.79E-05    2.79E-05    2.79E-05    2.79E-05    2.79E-05    2.79E-05    2.79E-05
126    2.86E-05    2.86E-05    2.86E-05    2.86E-05    2.86E-05    2.86E-05    2.86E-05    2.86E-05
127    2.93E-05    2.93E-05    2.93E-05    2.93E-05    2.93E-05    2.93E-05    2.93E-05    2.93E-05
128    3.00E-05    3.00E-05    3.00E-05    3.00E-05    3.00E-05    3.00E-05    3.00E-05    3.00E-05
129    3.07E-05    3.07E-05    3.07E-05    3.07E-05    3.07E-05    3.07E-05    3.07E-05    3.07E-05
130    3.14E-05    3.14E-05    3.14E-05    3.14E-05    3.14E-05    3.14E-05    3.14E-05    3.14E-05
131    3.22E-05    3.22E-05    3.22E-05    3.22E-05    3.22E-05    3.22E-05    3.22E-05    3.22E-05
132    3.30E-05    3.30E-05    3.30E-05    3.30E-05    3.30E-05    3.30E-05    3.30E-05    3.30E-05
133    3.38E-05    3.38E-05    3.38E-05    3.38E-05    3.38E-05    3.38E-05    3.38E-05    3.38E-05
134    3.46E-05    3.46E-05    3.46E-05    3.46E-05    3.46E-05    3.46E-05    3.46E-05    3.46E-05
135    3.55E-05    3.55E-05    3.55E-05    3.55E-05    3.55E-05    3.55E-05    3.55E-05    3.55E-05
136    3.63E-05    3.63E-05    3.63E-05    3.63E-05    3.63E-05    3.63E-05    3.63E-05    3.63E-05
137    3.72E-05    3.72E-05    3.72E-05    3.72E-05    3.72E-05    3.72E-05    3.72E-05    3.72E-05
138    3.81E-05    3.81E-05    3.81E-05    3.81E-05    3.81E-05    3.81E-05    3.81E-05    3.81E-05
139    3.90E-05    3.90E-05    3.90E-05    3.90E-05    3.90E-05    3.90E-05    3.90E-05    3.90E-05
140    4.00E-05    4.00E-05    4.00E-05    4.00E-05    4.00E-05    4.00E-05    4.00E-05    4.00E-05
141    4.09E-05    4.09E-05    4.09E-05    4.09E-05    4.09E-05    4.09E-05    4.09E-05    4.09E-05
142    4.19E-05    4.19E-05    4.19E-05    4.19E-05    4.19E-05    4.19E-05    4.19E-05    4.19E-05
143    4.30E-05    4.30E-05    4.30E-05    4.30E-05    4.30E-05    4.30E-05    4.30E-05    4.30E-05
144    4.40E-05    4.40E-05    4.40E-05    4.40E-05    4.40E-05    4.40E-05    4.40E-05    4.40E-05
145    4.51E-05    4.51E-05    4.51E-05    4.51E-05    4.51E-05    4.51E-05    4.51E-05    4.51E-05
146    4.62E-05    4.62E-05    4.62E-05    4.62E-05    4.62E-05    4.62E-05    4.62E-05    4.62E-05
147    4.73E-05    4.73E-05    4.73E-05    4.73E-05    4.73E-05    4.73E-05    4.73E-05    4.73E-05
